Success,X - failure,Y - failure,Z - failure,Notes,Grasp,Opening,handle_x,handle_y,handle_z,handle_bb_min_x,handle_bb_min_y,handle_bb_min_z,handle_bb_max_x,handle_bb_max_y,handle_bb_max_z,grasp_x,grasp_y,grasp_z,grasp_rotation_x,grasp_rotation_y,grasp_rotation_z,label
0.0000,X,X,,"x - failure , y -failure",,,0.8578,0.1090,0.6636,0.8253,-0.0801,0.6371,0.8903,0.2981,0.6901,0.7473,-0.0779,0.6628,0.0000,0.0000,3.1416,0.0000
0.0000,X,X,X,"x - failure , y - failure , z - failure ",,,0.8383,0.0817,0.6648,0.8106,-0.1150,0.6435,0.8661,0.2784,0.6860,0.6912,0.2263,0.6795,0.0000,0.0000,3.1416,0.0000
0.0000,X,,,x-failure,,,0.8500,0.1195,0.6625,0.8174,-0.0707,0.6383,0.8825,0.3097,0.6866,0.7469,0.0054,0.6589,0.0000,0.0000,3.1416,0.0000
0.0000,X,,,x-failure,,,0.8483,0.0768,0.6625,0.8082,-0.1180,0.6402,0.8883,0.2715,0.6848,0.7058,0.0354,0.6539,0.0000,0.0000,3.1416,0.0000
1.0000,,,,,X,X,0.8350,0.0874,0.6633,0.8031,-0.1053,0.6450,0.8670,0.2802,0.6816,0.6932,0.1855,0.6528,0.0000,0.0000,3.1416,1.0000
0.0000,X,X,,"x - failure , y -failure",,,0.8368,0.0905,0.6644,0.8074,-0.1033,0.6449,0.8663,0.2842,0.6838,0.7160,-0.0215,0.6813,0.0000,0.0000,3.1416,0.0000
0.0000,X,X,,"x - failure , y -failure",,,0.8369,0.1228,0.6641,0.8039,-0.0689,0.6429,0.8699,0.3145,0.6853,0.6893,-0.0352,0.6712,0.0000,0.0000,3.1416,0.0000
0.0000,X,,,x - failure,,,0.8472,0.0665,0.6620,0.8158,-0.1250,0.6402,0.8787,0.2580,0.6839,0.7408,0.1403,0.6564,0.0000,0.0000,3.1416,0.0000
0.0000,X,X,,"x - failure , y -failure",,,0.8545,0.0558,0.6642,0.8242,-0.1320,0.6374,0.8849,0.2437,0.6911,0.7412,0.1761,0.6416,0.0000,0.0000,3.1416,0.0000
0.0000,X,X,,"x - failure , y -failure",,,0.8564,0.0844,0.6627,0.8239,-0.1018,0.6385,0.8890,0.2706,0.6868,0.7428,-0.0417,0.6677,0.0000,0.0000,3.1416,0.0000
1.0000,,,,,X,X,0.8568,0.0633,0.6617,0.8273,-0.1277,0.6361,0.8863,0.2544,0.6873,0.7301,0.1293,0.6654,0.0000,0.0000,3.1416,1.0000
0.0000,X,X,,"x - failure , y -failure",,,0.8437,0.1020,0.6637,0.8101,-0.0924,0.6424,0.8774,0.2964,0.6851,0.7315,-0.0594,0.6425,0.0000,0.0000,3.1416,0.0000
0.0000,X,X,,"x - failure , y -failure",,,0.8414,0.0969,0.6628,0.8111,-0.0969,0.6434,0.8717,0.2907,0.6822,0.7128,0.2295,0.6646,0.0000,0.0000,3.1416,0.0000
0.0000,X,X,,"x - failure , y -failure",,,0.8683,0.0606,0.6599,0.8391,-0.1270,0.6327,0.8975,0.2481,0.6871,0.7649,0.2435,0.6604,0.0000,0.0000,3.1416,0.0000
0.0000,X,,,x - failure,,,0.8498,0.1207,0.6643,0.8131,-0.0671,0.6396,0.8864,0.3085,0.6890,0.7063,0.1066,0.6666,0.0000,0.0000,3.1416,0.0000
1.0000,,,,Slip,X,O,0.8491,0.0993,0.6638,0.8166,-0.0916,0.6402,0.8816,0.2901,0.6873,0.7151,0.0679,0.6737,0.0000,0.0000,3.1416,1.0000
0.0000,X,,,x - failure,,,0.8517,0.0531,0.6632,0.8201,-0.1364,0.6376,0.8834,0.2426,0.6889,0.7461,0.1895,0.6461,0.0000,0.0000,3.1416,0.0000
0.0000,X,X,,"x - failure , y -failure",,,0.8483,0.1001,0.6640,0.8155,-0.0874,0.6399,0.8811,0.2877,0.6881,0.7433,-0.0615,0.6831,0.0000,0.0000,3.1416,0.0000
0.0000,,X,,y - failure,,,0.8572,0.1047,0.6631,0.8279,-0.0851,0.6379,0.8866,0.2945,0.6883,0.7210,-0.0670,0.6706,0.0000,0.0000,3.1416,0.0000
0.0000,X,,,x - failure,,,0.8568,-0.0192,0.6630,0.8109,-0.2106,0.6313,0.9028,0.1723,0.6946,0.7439,0.1160,0.6845,0.0000,0.0000,3.1416,0.0000
